NOM_LOC;NOM_MUN;POBFEM;POBMAS;LONGITUD;LATITUD
Tultitlán de Guadalcázar;Cosoltepec;45;46;" 97°47'56.159"" W";"18°04'39.632"" N"
Pultepec;Cosoltepec;*;*;" 97°49'18.916"" W";"18°08'22.114"" N"
El Algodón;Cosoltepec;*;*;" 97°48'08.793"" W";"18°07'54.152"" N"
El Chimalallo;Cosoltepec;*;*;" 97°48'37.299"" W";"18°08'59.424"" N"
Jagüey Seco;Cosoltepec;*;*;" 97°48'58.888"" W";"18°09'18.537"" N"
Pitayo Verde [La Loma];Cosoltepec;*;*;" 97°50'26.524"" W";"18°08'49.820"" N"
Localidades de una vivienda;Cosoltepec;6;4;*;*
Total del Municipio;Cuilápam de Guerrero;14019;12863;*;*
Cuilápam de Guerrero;Cuilápam de Guerrero;8210;7553;" 96°46'50.128"" W";"16°59'45.605"" N"
Cruz Blanca;Cuilápam de Guerrero;544;453;" 96°45'37.450"" W";"17°00'55.261"" N"
Carrizal;Cuilápam de Guerrero;182;185;" 96°48'50.758"" W";"17°00'33.071"" N"
Manzano;Cuilápam de Guerrero;329;296;" 96°48'44.820"" W";"17°02'08.135"" N"
Tiracoz;Cuilápam de Guerrero;237;224;" 96°48'26.597"" W";"17°02'10.717"" N"
Ojo de Agua;Cuilápam de Guerrero;435;383;" 96°46'12.990"" W";"17°00'13.982"" N"
Bulmaro Silva;Cuilápam de Guerrero;6;2;" 96°47'03.109"" W";"16°59'18.586"" N"
El Sabino;Cuilápam de Guerrero;55;44;" 96°46'17.157"" W";"16°58'49.352"" N"
El Rosario [Barrio];Cuilápam de Guerrero;78;62;" 96°46'45.821"" W";"16°58'04.707"" N"
Guadalupe 3a. Sección [Barrio];Cuilápam de Guerrero;422;365;" 96°46'51.218"" W";"17°00'13.698"" N"
El Tepeyac (Lomas de San Juan);Cuilápam de Guerrero;311;275;" 96°46'32.667"" W";"17°00'46.092"" N"
Rancho Palo de Lumbre;Cuilápam de Guerrero;97;95;" 96°47'23.628"" W";"16°59'03.431"" N"
Rancho Quemado;Cuilápam de Guerrero;120;131;" 96°47'51.180"" W";"17°00'52.939"" N"
Libramiento a Jalpan;Cuilápam de Guerrero;51;56;" 96°45'41.241"" W";"16°58'12.898"" N"
El Zompantle [Parajes Unidos];Cuilápam de Guerrero;36;24;" 96°45'56.314"" W";"16°58'22.199"" N"
Primera Ampliación de Cruz Blanca;Cuilápam de Guerrero;291;260;" 96°46'03.870"" W";"17°00'59.323"" N"
Lomas de San Juan;Cuilápam de Guerrero;664;630;" 96°45'54.277"" W";"17°00'15.492"" N"
Acapiztla;Cuilápam de Guerrero;24;31;" 96°49'58.953"" W";"17°02'49.702"" N"
Estrella Blanca;Cuilápam de Guerrero;171;163;" 96°45'45.039"" W";"17°00'23.083"" N"
Primera Sección Barrio San Antonio;Cuilápam de Guerrero;20;12;" 96°47'21.422"" W";"16°59'55.536"" N"
Paraje Zavaleta;Cuilápam de Guerrero;187;201;" 96°46'06.929"" W";"16°59'18.921"" N"
La Cieneguita [Colonia];Cuilápam de Guerrero;399;354;" 96°46'10.299"" W";"17°00'46.723"" N"
Los Ríos [Colonia];Cuilápam de Guerrero;313;299;" 96°45'35.484"" W";"17°00'32.155"" N"
Los Huertos [Colonia];Cuilápam de Guerrero;459;384;" 96°46'45.019"" W";"17°01'02.585"" N"
Lomas de Rancho Quemado;Cuilápam de Guerrero;146;149;" 96°47'37.772"" W";"17°01'15.832"" N"
La Yigüi;Cuilápam de Guerrero;42;37;" 96°48'29.323"" W";"16°59'23.207"" N"
Rancho Areche [Paraje];Cuilápam de Guerrero;69;73;" 96°48'35.918"" W";"16°58'47.633"" N"
El Alacrán;Cuilápam de Guerrero;11;9;" 96°48'01.980"" W";"17°01'21.083"" N"
El Alacrán Dos;Cuilápam de Guerrero;8;7;" 96°48'22.706"" W";"17°01'16.644"" N"
Los Mangales;Cuilápam de Guerrero;8;15;" 96°48'39.193"" W";"16°59'15.196"" N"
Tabla del Carrizal [Paraje];Cuilápam de Guerrero;55;44;" 96°45'58.861"" W";"16°57'26.930"" N"
El Pajarito [Paraje];Cuilápam de Guerrero;9;8;" 96°47'32.413"" W";"16°59'35.867"" N"
Higo Negro [Paraje];Cuilápam de Guerrero;*;*;" 96°47'43.541"" W";"16°59'38.931"" N"
Parajes Unidos (Barrio San Lucas);Cuilápam de Guerrero;26;33;" 96°48'00.251"" W";"16°59'15.324"" N"
La Nopalera;Cuilápam de Guerrero;*;*;" 96°45'46.271"" W";"16°58'44.289"" N"
Localidades de una vivienda;Cuilápam de Guerrero;*;*;*;*
Localidades de dos viviendas;Cuilápam de Guerrero;*;*;*;*
Total del Municipio;Cuyamecalco Villa de Zaragoza;1797;1847;*;*
Cuyamecalco Villa de Zaragoza;Cuyamecalco Villa de Zaragoza;466;452;" 96°49'52.955"" W";"17°57'54.299"" N"
Buenos Aires;Cuyamecalco Villa de Zaragoza;421;404;" 96°50'54.259"" W";"17°57'04.220"" N"
Joya Durazno;Cuyamecalco Villa de Zaragoza;92;103;" 96°48'33.531"" W";"17°57'10.799"" N"
Santa María Buenos Aires;Cuyamecalco Villa de Zaragoza;105;116;" 96°52'20.711"" W";"17°58'04.118"" N"
Agua Tabaco;Cuyamecalco Villa de Zaragoza;77;66;" 96°49'22.590"" W";"17°58'33.666"" N"
Cerro Culebra;Cuyamecalco Villa de Zaragoza;13;13;" 96°48'57.359"" W";"17°55'52.921"" N"
Chorro de Agua;Cuyamecalco Villa de Zaragoza;10;14;" 96°48'32.891"" W";"17°56'02.337"" N"
San Felipe de Jesús;Cuyamecalco Villa de Zaragoza;21;17;" 96°48'30.028"" W";"17°56'36.659"" N"
Guadalupe la Ciénega;Cuyamecalco Villa de Zaragoza;116;134;" 96°49'49.255"" W";"17°59'22.918"" N"
Trapiche (Rancho la Soledad);Cuyamecalco Villa de Zaragoza;*;*;" 96°51'39.283"" W";"17°59'52.157"" N"
El Zacatal;Cuyamecalco Villa de Zaragoza;15;14;" 96°50'28.529"" W";"17°59'35.547"" N"
Loma Platanar;Cuyamecalco Villa de Zaragoza;20;22;" 96°50'59.721"" W";"17°58'58.695"" N"
Aguacate;Cuyamecalco Villa de Zaragoza;17;18;" 96°50'11.909"" W";"17°58'28.551"" N"
Bajo la Peña;Cuyamecalco Villa de Zaragoza;15;15;" 96°51'04.488"" W";"17°58'12.423"" N"
Cerro Verde;Cuyamecalco Villa de Zaragoza;24;24;" 96°49'15.632"" W";"17°56'50.125"" N"
Piedra Boluda;Cuyamecalco Villa de Zaragoza;6;6;" 96°50'06.073"" W";"17°58'38.533"" N"
El Tenene;Cuyamecalco Villa de Zaragoza;*;*;" 96°49'56.377"" W";"17°56'34.789"" N"
San Francisco la Raya;Cuyamecalco Villa de Zaragoza;51;53;" 96°50'43.352"" W";"17°56'57.270"" N"
Loma del Viento;Cuyamecalco Villa de Zaragoza;41;67;" 96°51'55.090"" W";"17°56'48.652"" N"
Tierra Ahumada;Cuyamecalco Villa de Zaragoza;29;40;" 96°50'28.152"" W";"17°59'08.498"" N"
El Limón;Cuyamecalco Villa de Zaragoza;*;*;" 96°51'14.791"" W";"17°59'30.153"" N"
Loma el Trompo;Cuyamecalco Villa de Zaragoza;*;*;" 96°52'09.336"" W";"17°57'17.437"" N"
Río San Miguel (Llano Nopal);Cuyamecalco Villa de Zaragoza;28;29;" 96°48'18.560"" W";"17°56'22.945"" N"
Colonia Reforma (Barrio Reforma);Cuyamecalco Villa de Zaragoza;77;84;" 96°49'43.097"" W";"17°58'19.858"" N"
La Orilla;Cuyamecalco Villa de Zaragoza;93;87;" 96°49'56.549"" W";"17°57'16.055"" N"
Camino a San Miguel;Cuyamecalco Villa de Zaragoza;26;23;" 96°49'32.033"" W";"17°57'33.395"" N"
Agua Paloma;Cuyamecalco Villa de Zaragoza;*;*;" 96°52'14.477"" W";"17°57'40.744"" N"
Cerro Alto;Cuyamecalco Villa de Zaragoza;3;9;" 96°50'25.352"" W";"17°58'50.183"" N"
Loma la Tranca;Cuyamecalco Villa de Zaragoza;5;6;" 96°50'55.927"" W";"17°59'28.229"" N"
Agua Conejo;Cuyamecalco Villa de Zaragoza;21;21;" 96°49'36.925"" W";"17°56'57.831"" N"
Localidades de una vivienda;Cuyamecalco Villa de Zaragoza;3;7;*;*
Localidades de dos viviendas;Cuyamecalco Villa de Zaragoza;*;*;*;*
Total del Municipio;Chahuites;5787;5569;*;*
Chahuites;Chahuites;5638;5416;" 94°11'44.966"" W";"16°17'15.392"" N"
Los Conejos;Chahuites;86;91;" 94°11'31.081"" W";"16°16'25.962"" N"
El Porvenir;Chahuites;59;57;" 94°13'23.265"" W";"16°14'48.491"" N"
La Chicharra;Chahuites;*;*;" 94°12'04.421"" W";"16°18'11.436"" N"
Piedra Parada;Chahuites;*;*;" 94°11'30.662"" W";"16°16'15.156"" N"
El Timbón;Chahuites;*;*;" 94°11'58.391"" W";"16°14'34.838"" N"
Localidades de una vivienda;Chahuites;4;5;*;*
Total del Municipio;Chalcatongo de Hidalgo;4798;4237;*;*
Chalcatongo de Hidalgo;Chalcatongo de Hidalgo;1452;1285;" 97°34'15.562"" W";"17°01'55.304"" N"
Abasolo;Chalcatongo de Hidalgo;162;159;" 97°33'32.589"" W";"16°59'21.141"" N"
Aldama;Chalcatongo de Hidalgo;290;273;" 97°35'51.676"" W";"16°57'57.201"" N"
Allende;Chalcatongo de Hidalgo;87;78;" 97°32'14.118"" W";"16°58'10.259"" N"
Chapultepec;Chalcatongo de Hidalgo;352;284;" 97°34'46.008"" W";"16°59'03.285"" N"
Guerrero;Chalcatongo de Hidalgo;83;69;" 97°32'31.657"" W";"17°01'06.055"" N"
Hidalgo;Chalcatongo de Hidalgo;92;63;" 97°32'59.175"" W";"17°00'03.908"" N"
Independencia;Chalcatongo de Hidalgo;195;161;" 97°35'13.127"" W";"17°02'09.769"" N"
Iturbide;Chalcatongo de Hidalgo;65;78;" 97°35'05.826"" W";"17°01'09.021"" N"
Juárez;Chalcatongo de Hidalgo;38;35;" 97°33'20.942"" W";"17°01'00.677"" N"
Cañada de Morelos;Chalcatongo de Hidalgo;154;145;" 97°36'56.779"" W";"16°58'32.594"" N"
La Paz;Chalcatongo de Hidalgo;46;34;" 97°33'22.593"" W";"16°57'25.140"" N"
Progreso;Chalcatongo de Hidalgo;655;584;" 97°34'16.370"" W";"17°02'38.827"" N"
La Providencia;Chalcatongo de Hidalgo;24;25;" 97°30'24.719"" W";"16°57'54.203"" N"
Reforma;Chalcatongo de Hidalgo;154;152;" 97°31'19.411"" W";"16°56'52.035"" N"
Santa Catarina Yuxía;Chalcatongo de Hidalgo;78;68;" 97°29'28.120"" W";"16°58'08.286"" N"
La Unión;Chalcatongo de Hidalgo;82;72;" 97°37'41.633"" W";"16°57'09.816"" N"
Zaragoza;Chalcatongo de Hidalgo;292;263;" 97°34'25.555"" W";"17°00'53.282"" N"
Plan de Ayala;Chalcatongo de Hidalgo;127;103;" 97°35'30.832"" W";"16°59'54.606"" N"
Vista Hermosa;Chalcatongo de Hidalgo;41;34;" 97°34'05.990"" W";"17°01'24.593"" N"
Guadalupe Villanueva;Chalcatongo de Hidalgo;43;25;" 97°28'34.830"" W";"16°57'11.714"" N"
Colonia Yurancho;Chalcatongo de Hidalgo;94;81;" 97°33'34.227"" W";"17°01'43.286"" N"
Yutianucaje;Chalcatongo de Hidalgo;*;*;" 97°31'45.208"" W";"17°00'04.663"" N"
El Fortín;Chalcatongo de Hidalgo;9;15;" 97°32'58.971"" W";"17°01'57.404"" N"
Linda Vista;Chalcatongo de Hidalgo;78;71;" 97°27'08.324"" W";"16°57'17.620"" N"
Unión y Progreso;Chalcatongo de Hidalgo;22;21;" 97°28'16.058"" W";"16°57'25.092"" N"
Vista Alegre;Chalcatongo de Hidalgo;80;57;" 97°33'59.421"" W";"17°01'41.957"" N"
Localidades de una vivienda;Chalcatongo de Hidalgo;*;*;*;*
Total del Municipio;Chiquihuitlán de Benito Juárez;1185;994;*;*
Chiquihuitlán de Benito Juárez;Chiquihuitlán de Benito Juárez;819;643;" 96°44'43.611"" W";"17°59'43.582"" N"
Agua Tendida;Chiquihuitlán de Benito Juárez;79;64;" 96°45'56.145"" W";"17°58'22.421"" N"
La Concepción;Chiquihuitlán de Benito Juárez;100;106;" 96°44'35.556"" W";"17°58'03.010"" N"
Agua Espina;Chiquihuitlán de Benito Juárez;58;48;" 96°45'35.208"" W";"17°58'25.312"" N"
Agua Trapo;Chiquihuitlán de Benito Juárez;32;50;" 96°45'23.316"" W";"17°57'57.773"" N"
Loma Anillo;Chiquihuitlán de Benito Juárez;*;*;" 96°45'18.362"" W";"18°00'30.675"" N"
Agua Perrito (El Carrizal);Chiquihuitlán de Benito Juárez;18;21;" 96°46'29.083"" W";"17°58'38.248"" N"
La Laguna (Loma del Cacalote);Chiquihuitlán de Benito Juárez;6;4;" 96°45'39.212"" W";"17°59'56.422"" N"
Campo de Aviación;Chiquihuitlán de Benito Juárez;59;43;" 96°45'27.647"" W";"17°59'58.412"" N"
Loma de Silla;Chiquihuitlán de Benito Juárez;9;6;" 96°44'38.441"" W";"17°59'56.924"" N"
Loma Ojiteca;Chiquihuitlán de Benito Juárez;*;*;" 96°45'12.120"" W";"18°00'17.055"" N"
Wilfredo Hernández;Chiquihuitlán de Benito Juárez;3;7;" 96°44'48.341"" W";"17°59'08.195"" N"
Localidades de una vivienda;Chiquihuitlán de Benito Juárez;*;*;*;*
Total del Municipio;Heroica Ciudad de Ejutla de Crespo;12069;11079;*;*
Heroica Ciudad de Ejutla de Crespo;Heroica Ciudad de Ejutla de Crespo;5931;5237;" 96°43'54.842"" W";"16°33'51.392"" N"
El Arrogante Justo Benítez;Heroica Ciudad de Ejutla de Crespo;217;193;" 96°41'26.159"" W";"16°31'40.409"" N"
Barranca Larga;Heroica Ciudad de Ejutla de Crespo;371;367;" 96°44'10.734"" W";"16°29'33.629"" N"
La Ermita;Heroica Ciudad de Ejutla de Crespo;157;159;" 96°44'07.874"" W";"16°32'07.463"" N"
Hacienda Vieja;Heroica Ciudad de Ejutla de Crespo;403;364;" 96°45'31.753"" W";"16°32'24.166"" N"
Monte del Toro;Heroica Ciudad de Ejutla de Crespo;330;340;" 96°44'21.758"" W";"16°40'36.988"" N"
La Noria de Ortiz;Heroica Ciudad de Ejutla de Crespo;159;149;" 96°43'50.807"" W";"16°41'39.569"" N"
La Noria;Heroica Ciudad de Ejutla de Crespo;198;186;" 96°47'17.861"" W";"16°29'06.482"" N"
Nuevo Venustiano Carranza;Heroica Ciudad de Ejutla de Crespo;203;212;" 96°36'27.367"" W";"16°33'14.463"" N"
Los Ocotes;Heroica Ciudad de Ejutla de Crespo;341;300;" 96°43'12.097"" W";"16°36'51.115"" N"
Rinconada de San Diego;Heroica Ciudad de Ejutla de Crespo;13;10;" 96°37'28.536"" W";"16°34'00.166"" N"
San Joaquín;Heroica Ciudad de Ejutla de Crespo;99;103;" 96°45'26.764"" W";"16°35'27.102"" N"
El Cerro de las Huertas;Heroica Ciudad de Ejutla de Crespo;367;339;" 96°42'02.783"" W";"16°33'58.268"" N"
San Juan Coatecas Bajas;Heroica Ciudad de Ejutla de Crespo;136;127;" 96°42'33.881"" W";"16°32'49.555"" N"
San Juan Logolava;Heroica Ciudad de Ejutla de Crespo;81;81;" 96°48'26.734"" W";"16°40'36.836"" N"
San Matías Chilazoa;Heroica Ciudad de Ejutla de Crespo;151;148;" 96°44'00.311"" W";"16°43'38.705"" N"
Santa Cruz Nexila;Heroica Ciudad de Ejutla de Crespo;467;430;" 96°51'02.556"" W";"16°37'59.518"" N"
Santa Marta Chichihualtepec;Heroica Ciudad de Ejutla de Crespo;793;788;" 96°46'23.305"" W";"16°38'49.781"" N"
El Saúz;Heroica Ciudad de Ejutla de Crespo;95;84;" 96°45'07.859"" W";"16°31'03.611"" N"
Yegoseve;Heroica Ciudad de Ejutla de Crespo;246;227;" 96°42'59.382"" W";"16°34'02.317"" N"
El Cabrito;Heroica Ciudad de Ejutla de Crespo;34;37;" 96°43'17.935"" W";"16°31'33.052"" N"
El Vergel;Heroica Ciudad de Ejutla de Crespo;388;366;" 96°45'04.749"" W";"16°38'25.538"" N"
La Lobera;Heroica Ciudad de Ejutla de Crespo;163;153;" 96°43'28.465"" W";"16°30'27.611"" N"
Guelaxico (Paraje Bonanza);Heroica Ciudad de Ejutla de Crespo;6;4;" 96°42'16.958"" W";"16°35'36.721"" N"
La Cieneguilla;Heroica Ciudad de Ejutla de Crespo;98;88;" 96°44'37.976"" W";"16°30'19.111"" N"
Cerro Yaniche;Heroica Ciudad de Ejutla de Crespo;*;*;" 96°44'48.521"" W";"16°39'04.299"" N"
El Brujo [Rancho];Heroica Ciudad de Ejutla de Crespo;6;1;" 96°43'38.410"" W";"16°38'13.113"" N"
El Tortuguero;Heroica Ciudad de Ejutla de Crespo;26;33;" 96°44'31.745"" W";"16°33'30.477"" N"
Agua Rica;Heroica Ciudad de Ejutla de Crespo;33;42;" 96°44'14.444"" W";"16°32'37.704"" N"
El Palenque;Heroica Ciudad de Ejutla de Crespo;*;*;" 96°45'22.849"" W";"16°41'06.090"" N"
El Progreso (Barrio de Coapa);Heroica Ciudad de Ejutla de Crespo;29;42;" 96°44'56.860"" W";"16°35'56.453"" N"
Rancho Nogal (Los Jarquines);Heroica Ciudad de Ejutla de Crespo;14;10;" 96°43'16.203"" W";"16°32'51.712"" N"
La Capilla;Heroica Ciudad de Ejutla de Crespo;6;6;" 96°42'17.693"" W";"16°33'20.964"" N"
Barrio Chino;Heroica Ciudad de Ejutla de Crespo;19;28;" 96°43'14.310"" W";"16°34'47.626"" N"
La Escalera;Heroica Ciudad de Ejutla de Crespo;397;352;" 96°36'18.083"" W";"16°28'05.555"" N"
Guelasico;Heroica Ciudad de Ejutla de Crespo;9;7;" 96°43'30.946"" W";"16°35'07.609"" N"
La Pitiona;Heroica Ciudad de Ejutla de Crespo;78;60;" 96°44'30.715"" W";"16°31'42.648"" N"
Localidades de una vivienda;Heroica Ciudad de Ejutla de Crespo;*;*;*;*
Localidades de dos viviendas;Heroica Ciudad de Ejutla de Crespo;*;*;*;*
Total del Municipio;Eloxochitlán de Flores Magón;2220;1995;*;*
Eloxochitlán de Flores Magón;Eloxochitlán de Flores Magón;494;407;" 96°52'33.927"" W";"18°10'36.771"" N"
Agua Ancha;Eloxochitlán de Flores Magón;47;49;" 96°51'42.521"" W";"18°13'49.872"" N"
San José Buenavista;Eloxochitlán de Flores Magón;84;75;" 96°51'07.066"" W";"18°12'30.211"" N"
La Raya San Pedro;Eloxochitlán de Flores Magón;52;69;" 96°53'56.218"" W";"18°11'04.624"" N"
Peña Colorada;Eloxochitlán de Flores Magón;156;139;" 96°53'25.744"" W";"18°12'08.917"" N"
Las Flores [Colonia];Eloxochitlán de Flores Magón;32;38;" 96°53'24.633"" W";"18°11'18.431"" N"
Cerro de Plaza;Eloxochitlán de Flores Magón;11;9;" 96°52'02.643"" W";"18°10'04.404"" N"
Agua Torcida;Eloxochitlán de Flores Magón;126;116;" 96°53'10.333"" W";"18°11'16.972"" N"
Agua Iglesia;Eloxochitlán de Flores Magón;159;144;" 96°52'40.512"" W";"18°11'36.408"" N"
Agua Colorada;Eloxochitlán de Flores Magón;12;13;" 96°52'40.048"" W";"18°11'00.000"" N"
Puerto Rosete;Eloxochitlán de Flores Magón;64;62;" 96°51'36.778"" W";"18°10'12.495"" N"
Agua de Cuchara (Agua de Cucharón);Eloxochitlán de Flores Magón;10;8;" 96°51'22.811"" W";"18°09'46.789"" N"
Puente de Fierro;Eloxochitlán de Flores Magón;34;31;" 96°51'11.010"" W";"18°09'11.440"" N"
Camote Español;Eloxochitlán de Flores Magón;6;10;" 96°53'10.690"" W";"18°11'40.119"" N"
El Maguey;Eloxochitlán de Flores Magón;13;9;" 96°52'43.913"" W";"18°11'06.862"" N"
Corral;Eloxochitlán de Flores Magón;54;54;" 96°53'17.822"" W";"18°10'57.358"" N"
El Cimiento;Eloxochitlán de Flores Magón;47;34;" 96°52'16.652"" W";"18°10'51.202"" N"
Agua de Cueva;Eloxochitlán de Flores Magón;165;132;" 96°52'23.594"" W";"18°11'01.761"" N"
Barrio Escopeta;Eloxochitlán de Flores Magón;100;83;" 96°53'04.281"" W";"18°10'42.211"" N"
La Tranca;Eloxochitlán de Flores Magón;66;54;" 96°53'34.072"" W";"18°11'00.266"" N"
Plan de Cebolla (Cebollín);Eloxochitlán de Flores Magón;139;124;" 96°53'39.278"" W";"18°11'27.239"" N"
Agua de Máscara;Eloxochitlán de Flores Magón;27;24;" 96°52'58.328"" W";"18°10'50.110"" N"
Barrio Moctezuma;Eloxochitlán de Flores Magón;72;67;" 96°52'16.000"" W";"18°10'46.550"" N"
Rincón de las Flores (Rincón Brujo);Eloxochitlán de Flores Magón;10;14;" 96°52'25.830"" W";"18°10'12.716"" N"
Agua Escalera;Eloxochitlán de Flores Magón;29;24;" 96°53'53.026"" W";"18°10'45.761"" N"
Agua Blanca;Eloxochitlán de Flores Magón;170;165;" 96°51'13.788"" W";"18°11'57.697"" N"
Mina de Oro;Eloxochitlán de Flores Magón;41;41;" 96°53'44.080"" W";"18°11'52.101"" N"
Total del Municipio;El Espinal;4491;4239;*;*
El Espinal;El Espinal;4206;3919;" 95°02'34.210"" W";"16°29'08.555"" N"
Colonia Obrera Ex-Ingenio Juchitán;El Espinal;138;132;" 95°01'49.168"" W";"16°28'33.065"" N"
Río Verde (Santa Rita);El Espinal;*;*;" 94°58'31.141"" W";"16°30'13.436"" N"
San Jacinto;El Espinal;*;*;" 95°03'27.042"" W";"16°26'58.537"" N"
Rancho Toral;El Espinal;*;*;" 94°58'50.555"" W";"16°30'22.832"" N"
Rancho Alvarado;El Espinal;*;*;" 95°02'59.377"" W";"16°27'41.861"" N"
La Purísima [Rancho];El Espinal;2;4;" 95°03'18.131"" W";"16°27'32.722"" N"
El Real;El Espinal;*;*;" 94°59'18.454"" W";"16°30'00.241"" N"
Rancho Alfredo Benítez (Nahuini);El Espinal;*;*;" 95°02'55.310"" W";"16°28'48.074"" N"
Rancho Armando Martínez Ulloa;El Espinal;*;*;" 95°03'02.500"" W";"16°28'26.704"" N"
El Potrero [Rancho];El Espinal;*;*;" 95°03'24.676"" W";"16°27'00.333"" N"
Rancho Juan Bante López;El Espinal;*;*;" 95°03'25.186"" W";"16°28'49.741"" N"
Rancho Miguel Herrera;El Espinal;*;*;" 95°03'19.854"" W";"16°26'44.112"" N"
Rancho Rafael Castillejos;El Espinal;*;*;" 94°59'00.601"" W";"16°29'44.944"" N"
Rancho Abigail (Santa Cecilia);El Espinal;*;*;" 95°03'34.131"" W";"16°28'47.204"" N"
Rancho Aurelia;El Espinal;*;*;" 95°03'00.382"" W";"16°29'01.435"" N"
Rancho Guadalupe;El Espinal;*;*;" 95°02'40.526"" W";"16°27'01.333"" N"
Rancho Mariano;El Espinal;*;*;" 95°05'07.296"" W";"16°25'23.298"" N"
Rancho Monserrat;El Espinal;*;*;" 95°04'38.622"" W";"16°26'02.185"" N"
El Rayle;El Espinal;*;*;" 95°04'42.448"" W";"16°26'44.075"" N"
El Rocío;El Espinal;*;*;" 95°02'53.865"" W";"16°25'55.834"" N"
El Rosario;El Espinal;4;7;" 95°04'05.368"" W";"16°25'13.703"" N"
El Edén [Rancho];El Espinal;*;*;" 95°02'52.410"" W";"16°28'04.963"" N"
Rancho Virgen del Carmen;El Espinal;*;*;" 95°03'40.710"" W";"16°25'37.167"" N"
Los Tulipanes (Ricardo Toledo);El Espinal;*;*;" 95°02'46.912"" W";"16°25'48.908"" N"
Rancho San Felipe (Valentín Toledo);El Espinal;*;*;" 95°05'19.909"" W";"16°25'14.260"" N"
Colonia Nueva (José López Portillo);El Espinal;27;27;" 95°01'35.041"" W";"16°29'36.648"" N"
Las Dos Esperanzas;El Espinal;3;5;" 95°02'48.738"" W";"16°27'41.147"" N"
Dos Hermanos;El Espinal;*;*;" 95°04'37.903"" W";"16°26'07.916"" N"
Juan López Toledo;El Espinal;*;*;" 95°04'14.442"" W";"16°26'58.500"" N"
San Panuncio [Rancho];El Espinal;*;*;" 95°02'40.105"" W";"16°27'16.629"" N"
Rafael Yesin;El Espinal;*;*;" 95°03'02.586"" W";"16°29'23.093"" N"
El Rosario [Rancho];El Espinal;*;*;" 95°03'04.441"" W";"16°28'40.056"" N"
Los Rodríguez;El Espinal;*;*;" 95°03'48.039"" W";"16°27'59.342"" N"
El Encanto;El Espinal;*;*;" 95°00'19.779"" W";"16°29'26.333"" N"
Rancho Francisco Luis Matus;El Espinal;*;*;" 94°59'43.605"" W";"16°30'45.685"" N"
Los Dos Potrillos;El Espinal;1;3;" 95°03'27.297"" W";"16°29'11.315"" N"
Rancho Hugo Castillejos;El Espinal;*;*;" 95°01'04.628"" W";"16°30'15.472"" N"
Rancho Jesús Toledo;El Espinal;*;*;" 95°00'25.996"" W";"16°29'42.055"" N"
Rancho Leonel Cabrera;El Espinal;*;*;" 95°01'01.549"" W";"16°30'14.713"" N"
Los Tamarindos;El Espinal;13;13;" 95°02'01.528"" W";"16°29'31.352"" N"
Rancho las Dos Victorias (Faustino Matus);El Espinal;*;*;" 95°02'58.943"" W";"16°27'36.731"" N"
Rancho Ángela Chendú;El Espinal;*;*;" 95°02'59.767"" W";"16°28'04.352"" N"
Rancho Demetrio Ríos Moya;El Espinal;*;*;" 95°01'02.386"" W";"16°29'54.815"" N"
El Centenario [Rancho];El Espinal;*;*;" 95°01'52.468"" W";"16°29'36.278"" N"
El Manantial [Rancho];El Espinal;*;*;" 95°01'38.908"" W";"16°29'39.194"" N"
Rancho Esquipulas;El Espinal;*;*;" 95°05'40.086"" W";"16°25'11.296"" N"
Jorgib [Rancho];El Espinal;*;*;" 95°00'47.846"" W";"16°29'48.778"" N"
La Cabaña del Tío Pou;El Espinal;*;*;" 95°01'52.319"" W";"16°28'24.389"" N"
La Cariñosa [Rancho];El Espinal;*;*;" 95°00'48.178"" W";"16°29'38.630"" N"
La Copa [Rancho];El Espinal;*;*;" 95°02'06.077"" W";"16°29'37.611"" N"
La Purísima Concepción;El Espinal;*;*;" 95°03'06.367"" W";"16°28'57.722"" N"
Rancho Profesor Roque Sánchez;El Espinal;*;*;" 95°03'27.888"" W";"16°27'05.482"" N"
Rancho Jorge Valdivieso;El Espinal;*;*;" 95°02'25.396"" W";"16°26'41.093"" N"
Don Francisco;El Espinal;*;*;" 95°03'41.299"" W";"16°27'48.750"" N"
Jorge Matus Salinas;El Espinal;*;*;" 94°59'31.903"" W";"16°30'35.148"" N"
La Pajarera;El Espinal;*;*;" 95°00'22.618"" W";"16°29'26.167"" N"
El Sacrificio;El Espinal;*;*;" 95°00'32.227"" W";"16°29'28.954"" N"
Santana López;El Espinal;*;*;" 95°01'01.665"" W";"16°29'19.889"" N"
El Sacrificio MC [Rancho];El Espinal;*;*;" 95°00'03.130"" W";"16°30'28.860"" N"
San José [Rancho];El Espinal;*;*;" 95°01'04.260"" W";"16°29'07.050"" N"
La Frontera;El Espinal;*;*;" 95°00'50.747"" W";"16°29'08.657"" N"
El Porvenir;El Espinal;*;*;" 95°01'26.735"" W";"16°29'20.942"" N"
Luis Antonio Castillejos [Rancho];El Espinal;*;*;" 95°01'50.910"" W";"16°29'48.520"" N"
El Cora [Rancho];El Espinal;*;*;" 95°03'15.930"" W";"16°28'52.020"" N"
El Resplandor [Rancho];El Espinal;*;*;" 95°04'32.538"" W";"16°26'58.130"" N"
Cristo Salvador;El Espinal;*;*;" 95°03'15.088"" W";"16°27'05.156"" N"
Cristo Vive [Rancho];El Espinal;*;*;" 95°02'55.503"" W";"16°26'26.291"" N"
